,City,Cloudiness,Country,Date,Humidity,Lattitude,Longitude,Maximum Temp,Wind Speed
269,kargil,80,PK,1548029151,75,34.56,76.13,8.42,1.81
270,avarua,75,CK,1548025200,79,-21.21,-159.78,84.2,9.17
271,clinton,1,US,1548028320,57,41.84,-90.19,10.04,3.36
272,warrnambool,0,AU,1548029152,93,-38.38,142.48,68.31,5.73
273,seoul,1,KR,1548027000,72,37.57,126.98,19.4,2.24
274,camacha,75,PT,1548027000,62,33.08,-16.33,60.8,13.87
275,jucas,44,BR,1548029153,92,-6.53,-39.53,73.62,5.5
276,yarmouth,56,GB,1548024600,93,50.71,-1.5,35.6,4.7
277,brae,20,GB,1548028200,95,60.4,-1.35,42.8,10.29
278,tilichiki,76,RU,1548029154,88,60.47,166.1,29.43,11.65
279,magadan,8,RU,1548029154,85,59.56,150.8,28.67,34.36
280,kerman,0,IR,1548025200,26,30.29,57.06,21.2,4.7
281,dutlwe,20,BW,1548029155,49,-23.98,23.93,73.26,10.98
282,tongzi,88,CN,1548029155,93,28.78,105.09,40.55,4.72
283,touros,40,BR,1548025200,88,-5.2,-35.46,80.6,9.17
284,hasaki,20,JP,1548027000,32,35.73,140.83,41.0,18.34
285,diu,0,IN,1548029156,88,20.71,70.98,59.18,5.84
286,songling,0,CN,1548027000,69,31.19,120.72,33.8,4.47
287,roald,75,NO,1548026400,100,62.58,6.12,33.8,17.22
288,natal,40,BR,1548025200,78,-5.81,-35.21,82.4,14.99
289,pizhma,80,RU,1548029157,84,57.86,47.12,19.53,11.88
290,calabasas,1,US,1548028620,48,34.14,-118.64,75.02,6.93
291,kirovskiy,36,RU,1548029157,72,45.09,133.51,-2.84,2.48
292,saint-francois,90,FR,1548027000,100,46.42,3.91,37.4,5.82
293,vanimo,44,PG,1548029158,100,-2.67,141.3,81.23,5.61
294,manono,80,CD,1548029158,96,-7.3,27.4,67.05,3.04
295,cartagena,0,ES,1548027000,70,37.63,-1.0,46.4,5.82
296,gloversville,40,US,1548028740,64,43.05,-74.34,8.06,13.87
297,barra do garcas,0,BR,1548029159,68,-15.89,-52.26,80.73,4.05
298,edd,0,ER,1548029159,87,13.93,41.69,58.95,2.59
299,nouadhibou,0,MR,1548025200,72,20.93,-17.03,62.6,18.34
300,soyo,76,AO,1548029159,95,-6.13,12.37,76.55,2.82
301,dalbandin,0,PK,1548029159,71,28.9,64.41,36.54,6.51
302,bogorodskoye,80,RU,1548029160,65,52.37,140.44,-0.9,8.41
303,bahia blanca,0,AR,1548028916,46,-38.72,-62.27,82.98,22.17
304,bilibino,76,RU,1548029160,69,68.06,166.44,-24.21,2.37
305,atambua,88,ID,1548029160,100,-9.11,124.89,79.52,4.27
306,cananeia,92,BR,1548029160,100,-25.01,-47.93,77.76,2.71
307,pathein,0,MM,1548029161,89,16.78,94.73,58.55,3.71
308,rio sereno,20,PA,1548025200,40,8.82,-82.87,87.8,18.34
309,charters towers,0,AU,1548029161,69,-20.07,146.27,80.6,12.44
310,cay,68,TR,1548029162,98,38.59,31.03,26.6,2.15
311,huescar,12,ES,1548029162,85,37.81,-2.54,33.17,6.73
312,teguise,40,ES,1548027000,82,29.06,-13.56,60.8,5.82
313,komsomolskiy,56,RU,1548029162,75,67.55,63.78,5.0,7.63
314,nizwa,0,OM,1548029088,86,22.93,57.53,40.59,3.6
315,jipijapa,90,EC,1548025200,74,-1.35,-80.58,82.4,11.41
316,puerto colombia,40,CO,1548025200,78,10.99,-74.96,78.8,13.87
317,bulqize,32,AL,1548028200,100,41.49,20.22,33.8,2.24
318,susangerd,0,IR,1548025200,81,31.56,48.19,44.6,2.24
319,port blair,24,IN,1548029164,100,11.67,92.75,81.45,12.88
320,waddan,0,LY,1548029164,75,29.16,16.14,33.39,2.93
321,kruisfontein,0,ZA,1548029164,77,-34.0,24.73,64.71,12.33
322,mukdahan,20,TH,1548029165,76,16.54,104.73,70.43,9.31
323,maningrida,88,AU,1548029165,83,-12.05,134.23,86.49,10.2
324,amazar,8,RU,1548029166,44,53.86,120.88,-16.38,2.37
325,sinnamary,92,GF,1548029166,95,5.38,-52.96,79.38,13.44
326,port-cartier,90,CA,1548025200,69,50.03,-66.88,-7.61,23.04
327,los llanos de aridane,76,ES,1548027000,68,28.66,-17.92,64.4,18.34
328,belyy yar,0,RU,1548027000,84,53.6,91.39,-2.21,2.15
329,duluth,90,US,1548028560,75,46.77,-92.13,6.8,3.36
330,comodoro rivadavia,0,AR,1548025200,19,-45.87,-67.48,78.8,18.34
331,adrar,0,DZ,1548025200,23,27.87,-0.29,53.6,11.41
332,eirunepe,44,BR,1548029168,85,-6.66,-69.87,80.01,1.59
333,robertson,0,ZA,1548029168,75,-33.8,19.88,47.75,1.92
334,victoria,75,BN,1548027000,88,5.28,115.24,80.6,9.17
335,tiznit,12,MA,1548029168,100,29.7,-9.73,55.67,3.38
336,inongo,36,CD,1548029169,93,-1.93,18.29,73.58,2.71
337,berlevag,75,NO,1548024600,73,70.86,29.09,24.8,19.46
338,wagrowiec,20,PL,1548027000,92,52.81,17.2,26.6,4.7
339,perivolion,20,GR,1548028200,93,39.42,20.01,42.8,9.75
340,sao filipe,32,CV,1548029170,94,14.9,-24.5,72.27,14.9
341,luganville,68,VU,1548029170,100,-15.51,167.18,81.99,5.17
342,matara,76,PE,1548029170,68,-13.74,-72.9,52.88,0.36
343,palu,48,ID,1548029171,89,-0.9,119.87,68.76,2.15
344,galveston,90,US,1548028500,59,40.58,-86.19,14.0,3.6
345,sept-iles,90,CA,1548025200,69,50.2,-66.38,-7.61,23.04
346,kristianstad,88,SE,1548026400,100,56.03,14.16,33.8,4.7
347,adre,0,TD,1548029171,63,13.47,22.2,59.04,3.15
348,grand-lahou,0,CI,1548029172,94,5.24,-5.0,75.96,4.38
349,sur,0,OM,1548029172,100,22.57,59.53,67.68,22.28
350,teya,75,MX,1548024300,49,21.05,-89.07,69.8,13.87
351,krasnoarmeysk,75,RU,1548027000,85,56.12,38.15,23.0,13.42
352,ranfurly,0,CA,1548029173,65,53.41,-111.68,9.45,3.83
353,manta,24,RO,1548029174,96,45.1,24.1,20.16,2.59
354,alice springs,0,AU,1548027000,13,-23.7,133.88,98.6,12.75
355,rehoboth,0,NA,1548029175,31,-23.31,17.08,61.2,2.71
356,yinchuan,0,CN,1548029176,48,38.48,106.21,-4.73,2.59
357,matagami,0,NG,1548029176,83,9.67,8.4,63.63,2.04
358,maraa,92,BR,1548029176,97,-1.83,-65.37,75.78,3.71
359,hamilton,40,CA,1548027900,64,43.26,-79.87,6.8,14.99
360,luanda,64,AO,1548029177,94,-8.83,13.24,78.17,5.73
361,labytnangi,44,RU,1548029177,59,66.66,66.39,-12.33,1.14
362,vostok,36,RU,1548029177,76,46.45,135.83,-8.69,2.71
363,tabou,0,CI,1548029178,100,4.42,-7.36,82.85,7.85
364,stromness,90,CA,1548028440,79,42.87,-79.55,6.98,17.22
365,imeni poliny osipenko,8,RU,1548029178,57,52.42,136.49,-20.21,2.37
366,quatre cocos,75,MU,1548025200,83,-20.21,57.76,78.8,2.24
367,naze,40,NG,1548025200,83,5.43,7.07,77.0,3.04
368,guerrero negro,0,MX,1548029180,41,27.97,-114.04,71.28,7.74
369,husavik,0,CA,1548029181,33,50.56,-96.99,-22.73,11.43
370,santa maria,20,BR,1548025200,88,-29.69,-53.81,71.6,4.7
371,wamba,0,CD,1548029183,80,2.14,27.99,69.08,2.15
372,nizhneangarsk,80,RU,1548029183,83,55.78,109.57,7.43,4.83
373,ponta delgada,40,PT,1548027000,93,37.73,-25.67,57.2,9.98
374,wilmington,90,US,1548027300,58,39.75,-75.55,28.4,13.87
375,clyde river,40,CA,1548025200,74,70.47,-68.59,-22.01,6.4
376,nisia floresta,40,BR,1548025200,78,-6.09,-35.21,82.4,14.99
377,lorengau,80,PG,1548029185,100,-2.02,147.27,82.17,10.98
378,korfovskiy,0,RU,1548027000,76,48.22,135.06,-9.41,2.24
379,karbinci,90,MK,1548028800,93,41.82,22.24,37.4,2.15
380,beipiao,0,CN,1548029185,29,41.8,120.76,26.64,16.58
381,cradock,0,ZA,1548029186,85,-32.16,25.62,44.64,1.14
382,uruacu,44,BR,1548029074,92,-14.52,-49.14,74.12,2.71
383,nelson bay,75,AU,1548027000,78,-32.72,152.14,77.0,3.36
384,saqqez,0,IR,1548029186,53,36.24,46.27,3.02,1.81
385,kavaratti,0,IN,1548029186,100,10.57,72.64,80.01,4.05
386,kununurra,40,AU,1548027000,88,-15.77,128.74,78.8,6.93
387,limerick,0,IE,1548027000,88,52.66,-8.63,32.0,3.36
388,sakaiminato,75,JP,1548025200,100,35.55,133.23,41.0,8.05
389,iqaluit,90,CA,1548025200,69,63.75,-68.52,-13.01,6.93
390,tyukalinsk,48,RU,1548029188,86,55.87,72.2,22.5,12.21
391,dordrecht,0,NL,1548028860,92,51.8,4.68,24.8,2.93
392,prado,8,BR,1548029189,93,-17.34,-39.22,81.36,18.14
393,pagudpud,75,PH,1548025200,88,18.56,120.79,69.8,3.36
394,noumea,75,NC,1548027000,46,-22.28,166.46,91.4,5.82
395,grand gaube,75,MU,1548025200,83,-20.01,57.66,78.8,2.24
396,liverpool,75,GB,1548028200,86,53.41,-2.98,41.0,6.93
397,porto novo,75,BR,1548025200,94,-23.68,-45.44,73.4,5.82
398,pasighat,0,IN,1548029190,56,28.06,95.33,49.1,2.48
399,shelburne,90,CA,1548027780,70,44.08,-80.2,1.4,12.75
400,shingu,40,JP,1548025200,100,33.72,135.99,44.6,14.99
401,skibbereen,20,IE,1548027000,100,51.55,-9.27,35.6,6.93
402,hun,0,BE,1548028200,85,50.34,4.87,26.6,3.36
403,bubaque,0,GW,1548029192,98,11.28,-15.83,78.21,1.59
404,toucheng,75,TW,1548027000,93,24.86,121.82,59.0,8.05
405,san quintin,0,PH,1548029193,77,17.54,120.52,68.67,4.38
406,rafaela,56,AR,1548029193,73,-31.25,-61.49,72.09,8.52
407,atar,0,MR,1548029194,38,20.52,-13.05,49.23,6.17
408,fergus falls,1,US,1548027420,58,46.28,-96.08,-0.41,8.05
409,ilulissat,80,GL,1548024600,77,69.22,-51.1,-0.41,9.17
410,quime,32,BO,1548029194,77,-16.98,-67.22,54.32,1.7
411,mount gambier,0,AU,1548025200,72,-37.83,140.78,68.0,6.93
412,bilma,0,NE,1548029194,49,18.69,12.92,53.01,2.82
413,ahipara,20,NZ,1548029195,73,-35.17,173.16,70.88,13.0
414,walvis bay,0,NA,1548025200,77,-22.95,14.51,62.6,4.7
415,constantine,75,DZ,1548027000,87,36.36,6.61,44.6,4.7
416,huarmey,88,PE,1548029196,73,-10.07,-78.15,70.25,3.83
417,sungairaya,80,ID,1548029196,99,0.7,108.9,76.23,4.38
418,karpathos,92,GR,1548028200,82,35.51,27.21,59.0,20.8
419,formosa,20,AR,1548025200,69,-26.19,-58.17,78.8,5.82
420,kailua,20,US,1548025020,62,21.39,-157.74,82.04,6.93
421,galesong,40,ID,1548027000,100,-5.32,119.37,78.8,4.7
422,tucupita,64,VE,1548029198,68,9.06,-62.05,80.6,11.21
423,payson,1,US,1548027300,69,40.04,-111.73,44.96,6.93
424,nalut,48,LY,1548029199,74,31.86,10.98,43.02,8.63
425,ngunguru,44,NZ,1548029199,90,-35.62,174.5,70.74,11.99
426,port lincoln,48,AU,1548029199,81,-34.72,135.86,73.13,5.61
427,letnica,90,PL,1548027000,92,51.9,15.33,24.8,1.12
428,sokoni,92,CD,1548029200,100,-12.89,28.78,62.15,2.48
429,muzhi,68,RU,1548029200,60,65.4,64.7,-6.98,3.04
430,khromtau,12,KZ,1548029200,83,50.26,58.44,15.35,11.43
431,furano,75,JP,1548027600,79,43.28,142.47,19.4,8.05
432,henties bay,0,NA,1548029201,100,-22.12,14.28,63.05,4.94
433,turka,76,UA,1548029202,92,49.16,23.03,17.37,2.82
434,potsdam,90,DE,1548028200,86,52.4,13.06,26.6,3.36
435,lianran,75,CN,1548025200,93,24.92,102.47,35.6,13.42
436,suntar,48,RU,1548029203,73,62.16,117.65,-2.97,2.82
437,pakhtakoron,92,UZ,1548029203,95,40.16,68.75,33.21,4.94
438,seymchan,88,RU,1548029203,81,62.93,152.39,-27.09,2.59
439,springfield,20,US,1548027300,62,37.22,-93.29,32.0,3.36
440,kletnya,76,RU,1548029205,88,53.39,33.22,21.87,14.23
441,salinopolis,88,BR,1548029205,100,-0.61,-47.36,79.52,11.1
442,balabac,64,PH,1548029205,100,7.99,117.06,80.78,8.19
443,clovis,40,US,1548028380,63,36.83,-119.7,66.02,3.36
444,markova,0,RU,1548027000,77,52.21,104.21,6.8,2.24
445,tomaszow lubelski,68,PL,1548029207,95,50.45,23.42,17.73,4.61
446,ewa beach,1,US,1548025020,64,21.32,-158.01,82.04,9.17
447,kigoma,80,TZ,1548029207,100,-4.88,29.64,73.13,4.16
448,dogondoutchi,0,NE,1548029295,26,13.64,4.03,66.69,9.98
449,glenluce,56,GB,1548029208,100,54.88,-4.81,45.18,5.95
450,kargasok,80,RU,1548029208,89,59.06,80.87,17.33,4.16
451,ust-nera,56,RU,1548029208,100,64.57,143.24,-46.62,1.48
452,pangai,92,TO,1548029209,100,-19.8,-174.35,77.13,8.63
453,barreirinha,20,BR,1548029209,95,-2.8,-57.07,76.86,3.94
454,vilhena,0,BR,1548025200,88,-12.74,-60.15,73.4,6.93
455,sitka,0,US,1548029209,69,37.17,-99.65,43.43,5.28
456,khani,0,GE,1548027000,74,41.96,42.96,35.6,4.7
457,prince rupert,75,CA,1548025740,87,54.32,-130.32,42.8,6.93
458,bobrov,88,RU,1548029210,91,51.1,40.03,19.26,9.53
459,atasu,88,KZ,1548029210,90,48.68,71.64,23.49,10.42
460,clarence town,75,AU,1548027000,78,-32.59,151.78,77.0,3.36
461,jega,0,NG,1548029211,38,12.22,4.38,68.63,6.4
462,mackenzie,90,CA,1548025200,69,55.34,-123.09,32.0,6.93
463,sergach,80,RU,1548029211,84,55.53,45.48,18.23,16.91
464,chapais,90,CA,1548025200,67,49.78,-74.86,-22.01,9.17
465,kutum,0,SD,1548029211,67,14.2,24.66,49.95,2.93
466,chicama,75,PE,1548025200,83,-7.84,-79.15,71.6,11.41
467,boundiali,0,CI,1548029213,43,9.53,-6.48,65.12,4.83
468,marica,75,BR,1548025200,88,-22.92,-42.82,84.2,9.17
469,rognedino,88,RU,1548029213,91,53.8,33.56,21.96,14.79
470,karatau,20,KZ,1548029301,82,43.18,70.46,28.8,17.69
471,marawi,100,PH,1548029214,100,8.0,124.29,70.7,2.82
472,kermanshah,0,IR,1548027000,85,34.32,47.07,21.2,2.24
473,taoudenni,0,ML,1548029215,44,22.68,-3.98,41.13,2.82
474,coos bay,90,US,1548024960,96,43.37,-124.22,46.04,6.93
475,mount isa,40,AU,1548025200,22,-20.73,139.49,91.4,8.05
476,rogozno,20,PL,1548027000,92,52.75,16.99,17.6,4.7
477,kalevala,48,FI,1548029215,73,64.12,29.58,5.76,5.06
478,san policarpo,92,PH,1548029216,100,12.18,125.51,74.97,18.03
479,ilinskiy,40,RU,1548027000,85,55.62,38.12,23.0,8.95
480,sirari,24,KE,1548029217,100,-1.25,34.48,61.88,3.38
481,lagoa,0,PT,1548027000,76,37.14,-8.45,50.0,2.24
482,le port,68,FR,1548029218,98,42.87,1.37,23.04,2.04
483,tabivere,75,EE,1548028200,78,58.55,26.61,17.6,9.17
484,ust-koksa,0,RU,1548029219,60,50.27,85.62,-10.71,2.15
485,auki,0,NG,1548029219,50,12.18,6.51,67.14,5.17
486,cap malheureux,75,MU,1548025200,83,-19.98,57.61,78.8,2.24
487,saint-joseph,0,FR,1548027000,93,43.56,6.97,41.0,4.7
488,ferme-neuve,80,CA,1548029221,56,46.7,-75.45,-6.03,12.33
489,westport,48,IE,1548029221,96,53.8,-9.52,38.3,8.3
490,meulaboh,92,ID,1548029222,100,4.14,96.13,74.57,1.59
491,diffa,0,NE,1548029222,43,13.32,12.61,62.87,5.28
492,strathmore,75,CA,1548025200,63,51.04,-113.4,30.2,2.24
493,balagansk,88,RU,1548029223,75,54.01,103.05,4.28,2.59
494,necochea,0,AR,1548029223,61,-38.55,-58.74,70.7,11.43
495,kozhevnikovo,76,RU,1548029223,89,56.26,83.98,20.75,4.61
496,jablah,0,SY,1548025200,100,35.36,35.93,51.8,4.7
497,hobyo,88,SO,1548029229,86,5.35,48.53,75.92,18.48
498,waipawa,20,NZ,1548029234,64,-39.94,176.59,69.66,23.96
499,alofi,68,NU,1548025200,70,-19.06,-169.92,87.8,10.29
500,bitung,40,ID,1548027000,94,1.44,125.19,78.8,2.48
501,salto del guaira,0,PY,1548029235,86,-24.06,-54.31,75.06,2.71
502,souillac,90,FR,1548027000,87,45.6,-0.6,42.8,6.93
503,smithers,40,CA,1548025200,80,54.78,-127.17,33.8,2.24
504,tongliao,0,CN,1548029236,49,43.61,122.27,17.37,14.12
505,kanigoro,64,ID,1548029237,98,-8.13,112.22,80.87,5.95
506,yar-sale,32,RU,1548029237,76,66.83,70.83,-3.42,7.85
507,geraldton,5,CA,1548025200,62,49.72,-86.95,-14.81,3.36
508,victor harbor,0,AU,1548027000,50,-35.55,138.62,78.8,4.7
509,kloulklubed,75,PW,1548024600,83,7.04,134.26,82.4,8.05
510,yumen,8,CN,1548029238,46,40.29,97.04,-11.07,4.16
511,timra,0,SE,1548026400,84,62.49,17.33,1.4,1.12
512,lima,75,PE,1548025200,78,-12.06,-77.04,73.4,10.29
513,bundaberg,75,AU,1548025200,55,-24.87,152.35,86.0,18.34
514,igualada,76,ES,1548027000,100,41.58,1.62,42.8,2.24
515,goiatuba,0,BR,1548029239,80,-18.02,-49.36,75.69,2.37
516,ossora,92,RU,1548029239,94,59.24,163.07,31.55,20.49
517,ploemeur,0,FR,1548027000,86,47.73,-3.43,39.2,9.17
518,moree,32,AU,1548025200,54,-29.46,149.84,82.4,6.93
519,oktyabrskiy,40,RU,1548027000,85,55.61,37.97,23.0,8.95
520,morant bay,40,JM,1548028800,61,17.88,-76.41,80.6,6.93
521,aksarka,44,RU,1548029241,56,66.56,67.8,-11.25,2.82
522,urucara,48,BR,1548029241,83,-2.54,-57.76,80.37,2.59
523,perth,0,GB,1548028200,86,56.4,-3.43,30.2,6.93
524,gamba,0,CN,1548029242,33,28.28,88.52,-20.79,1.81
525,tarija,20,BO,1548025200,68,-21.53,-64.73,69.8,10.29
526,bereda,40,ES,1548027000,87,43.27,-7.54,50.0,5.82
527,mezhdurechensk,0,RU,1548029243,62,53.69,88.07,-0.23,2.48
528,roma,75,IT,1548028200,81,41.89,12.48,46.4,8.05
529,te anau,92,NZ,1548029172,93,-45.41,167.72,48.06,10.76
530,simnas,12,LT,1548029244,74,54.38,23.65,18.72,9.42
531,kazachinskoye,80,RU,1548029244,85,57.69,93.28,18.18,3.04
532,amahai,56,ID,1548029244,100,-3.31,129.0,84.33,8.41
533,nuevo progreso,1,US,1548028380,30,26.05,-97.95,64.4,6.93
534,mandera,0,ET,1548029245,42,3.94,41.86,73.98,8.19
535,cuiluan,0,CN,1548029245,51,47.72,128.65,-18.54,3.15
536,mogadishu,32,SO,1548029221,100,2.04,45.34,78.39,25.52
537,shubarkuduk,68,KZ,1548029245,86,49.15,56.49,18.99,7.74
538,youhao,0,CN,1548029245,52,47.86,128.84,-18.86,2.26
539,barmer,80,IN,1548029246,87,25.74,71.4,51.17,2.93
